id;nombre;apellido_paterno;email;telefono;fecha_alta;fecha_modificacion
1;Credit Card Account;Tools Handmade;Rodger.Marquardt@hotmail.com;synthesize;2020-06-17T17:06:41;2020-06-17T21:46:43
2;world-class card;Chips;Ruthie_Flatley24@hotmail.com;local;2020-06-17T00:54:42;2020-06-17T21:55:32
3;Vermont Keys;Accounts redundant Gloves;Percy_Hermiston96@hotmail.com;digital;2020-06-17T02:21:58;2020-06-17T17:25:59
4;override;driver;Myrtice_Pagac@gmail.com;Auto Loan ;2020-06-17T14:02:18;2020-06-17T03:01:11
5;Bedfordshire;Flat indexing Sleek Soft Pants;Domenic93@yahoo.com;purple;2020-06-17T12:01:51;2020-06-17T01:59:30
6;background;Handcrafted Architect deposit;Jordon.Powlowski73@gmail.com;New Mexico;2020-06-17T09:42:45;2020-06-17T19:56:01
7;Indonesia;panel online withdrawal;Rahul_Adams72@gmail.com;Functional;2020-06-17T05:43:34;2020-06-17T08:48:09
8;haptic Car Investor;protocol bandwidth;Forest_Huels@gmail.com;sticky;2020-06-17T00:31:29;2020-06-17T09:26:38
9;client-driven Investment Account;Auto Loan Account Chips synergy;Aditya.Schroeder27@hotmail.com;payment mo;2020-06-17T19:53:28;2020-06-17T13:22:58
10;Salad quantify Customer;Engineer Platinum Unbranded;Jed_Crist@gmail.com;Architect ;2020-06-17T23:13:55;2020-06-17T08:58:22
